rank,account_id,account_name,region,industry,product_family,deployment,type,score,band,pipeline,open_count,Customer fit,Customer intent,Product engagement,Product whitespace,Modernization,Competitive intensity,Product pipeline
1,A01853,Synthetic Account 1853,Latin America,Financial Services,Database,On-Premise,Modernization,87.6,Very Strong,15349210.0,1,100.0,99.824451,100,0,85,100,99.027602
2,A02644,Synthetic Account 2644,EMEA,Healthcare,Infrastructure,On-Premise,Modernization,87.5,Very Strong,15474774.0,1,100.0,99.818789,99,0,85,100,99.837696
3,A01284,Synthetic Account 1284,EMEA,Energy,Infrastructure,On-Premise,Modernization,87.5,Very Strong,15316875.0,1,100.0,99.852766,99,0,85,100,98.818988
4,A02369,Synthetic Account 2369,EMEA,Healthcare,Database,On-Premise,Modernization,87.4,Very Strong,15411838.0,1,100.0,99.988674,99,0,85,99,99.431656
5,A00641,Synthetic Account 641,EMEA,Financial Services,Security,On-Premise,Modernization,87.4,Very Strong,15253166.0,1,100.0,99.926383,99,0,85,100,98.407961
6,A02317,Synthetic Account 2317,APAC,Healthcare,Security,On-Premise,Modernization,87.4,Very Strong,14954646.0,1,100.0,99.988674,100,0,85,100,96.482017
7,A00592,Synthetic Account 592,Latin America,Energy,Infrastructure,On-Premise,Modernization,87.3,Very Strong,15380109.0,1,100.0,99.818789,99,0,85,98,99.226951
8,A02856,Synthetic Account 2856,North America,Healthcare,Infrastructure,On-Premise,Modernization,87.3,Very Strong,15285032.0,1,100.0,99.824451,100,0,85,97,98.613549
9,A01979,Synthetic Account 1979,EMEA,Financial Services,Infrastructure,On-Premise,Modernization,87.3,Very Strong,15283267.0,1,100.0,99.847103,98,0,85,100,98.602162
10,A01860,Synthetic Account 1860,EMEA,Telecommunications,Applications,On-Premise,Modernization,87.3,Very Strong,15230679.0,1,100.0,100.0,99,0,85,99,98.262883
11,A00273,Synthetic Account 273,EMEA,Financial Services,Infrastructure,On-Premise,Modernization,87.2,Very Strong,15412586.0,1,100.0,99.915057,98,0,85,98,99.436481
12,A02697,Synthetic Account 2697,North America,Financial Services,Database,On-Premise,Modernization,87.2,Very Strong,15337019.0,1,100.0,99.858429,98,0,85,99,98.94895
13,A02423,Synthetic Account 2423,EMEA,Telecommunications,Infrastructure,On-Premise,Modernization,87.2,Very Strong,15237108.0,1,100.0,99.847103,99,0,85,98,98.30436
14,A01979,Synthetic Account 1979,EMEA,Financial Services,Database,On-Premise,Modernization,87.2,Very Strong,15235332.0,1,100.0,99.847103,99,0,85,98,98.292902
15,A02517,Synthetic Account 2517,Latin America,Healthcare,Applications,On-Premise,Modernization,87.2,Very Strong,14995923.0,1,100.0,99.943371,100,0,85,98,96.748321
16,A02189,Synthetic Account 2189,North America,Manufacturing,Infrastructure,On-Premise,Modernization,87.2,Very Strong,14948251.0,1,100.0,99.830114,100,0,85,98,96.440758
17,A01024,Synthetic Account 1024,North America,Telecommunications,Security,On-Premise,Modernization,87.2,Very Strong,14878570.0,1,100.0,99.892406,99,0,85,100,95.991202
18,A00592,Synthetic Account 592,Latin America,Energy,Security,On-Premise,Modernization,87.2,Very Strong,14827564.0,1,100.0,99.818789,100,0,85,99,95.662129
