account_id,product_family,competitor,intensity
A00001,Security,Competitor A,43
A00002,Infrastructure,Competitor C,74
A00002,Database,Competitor D,18
A00002,AI & ML,Competitor D,61
A00002,Security,Competitor A,40
A00002,Applications,Competitor D,26
A00002,Integration,Competitor B,72
A00003,Database,Competitor B,91
A00003,AI & ML,Competitor B,85
A00003,Security,Competitor D,45
A00003,Integration,Competitor C,69
A00004,Analytics & Data,Competitor B,13
A00004,Integration,Competitor C,34
A00005,Infrastructure,Competitor B,32
A00006,Infrastructure,Competitor C,98
A00006,Database,Competitor C,77
A00006,Analytics & Data,Competitor C,74
A00006,Security,Competitor B,93
A00006,Applications,Competitor D,98
A00006,Integration,Competitor D,98
A00008,Infrastructure,Competitor A,78
A00008,Analytics & Data,Competitor D,65
A00008,Integration,Competitor A,51
A00009,Infrastructure,Competitor B,50
A00009,Database,Competitor A,49
A00010,Infrastructure,Competitor C,63
A00010,Database,Competitor C,100
A00010,Analytics & Data,Competitor D,99
A00010,Applications,Competitor C,44
A00011,Infrastructure,Competitor D,71
A00011,Database,Competitor A,100
A00011,Analytics & Data,Competitor D,98
A00011,AI & ML,Competitor C,66
A00011,Security,Competitor D,100
A00011,Integration,Competitor C,100
A00012,Infrastructure,Competitor B,97
A00012,Analytics & Data,Competitor C,83
A00012,AI & ML,Competitor C,92
A00012,Applications,Competitor B,100
A00012,Integration,Competitor C,97
A00013,Infrastructure,Competitor C,100
A00013,Database,Competitor C,100
A00013,Analytics & Data,Competitor D,71
A00013,Security,Competitor C,70
A00013,Applications,Competitor C,85
A00014,Infrastructure,Competitor B,46
A00014,Database,Competitor C,48
A00014,AI & ML,Competitor C,75
A00014,Security,Competitor C,49
A00015,Analytics & Data,Competitor D,88
A00015,Applications,Competitor A,55
A00016,Infrastructure,Competitor D,93
A00016,Database,Competitor B,72
A00016,Analytics & Data,Competitor D,62
A00016,AI & ML,Competitor A,99
A00016,Applications,Competitor B,49
A00016,Integration,Competitor D,70
A00017,Infrastructure,Competitor C,100
A00017,Database,Competitor A,99
A00017,Analytics & Data,Competitor B,71
A00017,AI & ML,Competitor D,99
A00017,Security,Competitor D,97
A00017,Integration,Competitor C,100
A00018,Database,Competitor B,97
A00018,Analytics & Data,Competitor A,97
A00018,AI & ML,Competitor B,72
A00018,Security,Competitor A,80
A00018,Applications,Competitor A,76
A00018,Integration,Competitor C,98
A00019,Infrastructure,Competitor A,100
A00019,Database,Competitor B,97
A00019,AI & ML,Competitor C,83
A00019,Security,Competitor B,77
A00019,Applications,Competitor D,97
A00020,Database,Competitor D,68
A00020,Analytics & Data,Competitor A,84
A00020,AI & ML,Competitor B,99
A00020,Security,Competitor A,86
A00020,Integration,Competitor C,97
A00021,Applications,Competitor A,10
A00022,Applications,Competitor B,89
A00023,Infrastructure,Competitor D,86
A00023,Database,Competitor D,93
A00023,Analytics & Data,Competitor D,67
A00023,AI & ML,Competitor C,59
A00023,Applications,Competitor A,100
A00023,Integration,Competitor C,75
A00024,Security,Competitor D,26
A00025,Infrastructure,Competitor D,54
A00025,Database,Competitor C,88
A00025,Analytics & Data,Competitor A,81
A00025,AI & ML,Competitor C,70
A00025,Security,Competitor A,76
A00025,Applications,Competitor A,80
A00025,Integration,Competitor A,85
A00026,Security,Competitor D,68
A00026,Applications,Competitor B,84
A00026,Integration,Competitor D,65
A00027,Database,Competitor B,55
A00027,AI & ML,Competitor C,35
A00028,Security,Competitor C,12
A00029,Infrastructure,Competitor C,86
A00029,Database,Competitor B,82
A00029,Analytics & Data,Competitor C,93
A00029,AI & ML,Competitor A,93
A00029,Security,Competitor B,86
A00029,Applications,Competitor D,89
A00029,Integration,Competitor B,98
A00030,Database,Competitor D,39
A00030,AI & ML,Competitor C,40
A00031,Infrastructure,Competitor C,74
A00031,Database,Competitor B,97
A00031,Analytics & Data,Competitor D,98
A00031,AI & ML,Competitor C,98
A00031,Security,Competitor D,87
A00031,Applications,Competitor C,74
A00031,Integration,Competitor C,97
A00032,Infrastructure,Competitor B,81
A00032,Database,Competitor B,98
A00032,Analytics & Data,Competitor A,74
A00032,AI & ML,Competitor A,74
A00032,Security,Competitor C,83
A00032,Integration,Competitor D,80
A00033,Database,Competitor D,46
A00033,AI & ML,Competitor B,75
A00033,Security,Competitor B,59
A00033,Integration,Competitor A,82
A00034,Infrastructure,Competitor C,89
A00034,AI & ML,Competitor B,50
A00034,Security,Competitor A,83
A00034,Applications,Competitor B,36
A00035,Infrastructure,Competitor D,98
A00035,Analytics & Data,Competitor A,99
A00035,AI & ML,Competitor B,100
A00035,Security,Competitor C,79
A00037,Infrastructure,Competitor B,92
A00037,Analytics & Data,Competitor C,74
A00037,Security,Competitor A,89
A00037,Applications,Competitor D,91
A00037,Integration,Competitor A,71
A00038,Database,Competitor A,69
A00038,Analytics & Data,Competitor A,77
A00038,AI & ML,Competitor C,74
A00038,Security,Competitor C,92
A00038,Integration,Competitor D,79
A00039,AI & ML,Competitor D,80
A00039,Applications,Competitor C,39
A00040,Infrastructure,Competitor A,100
A00040,Database,Competitor C,98
A00040,Analytics & Data,Competitor D,97
A00040,AI & ML,Competitor B,89
A00040,Security,Competitor B,84
A00040,Applications,Competitor C,99
A00040,Integration,Competitor B,99
A00041,Infrastructure,Competitor D,97
A00041,Analytics & Data,Competitor B,100
A00041,AI & ML,Competitor B,97
A00041,Security,Competitor C,97
A00041,Integration,Competitor D,97
A00042,Infrastructure,Competitor C,99
A00042,Database,Competitor B,87
A00042,AI & ML,Competitor B,98
A00042,Security,Competitor C,99
A00042,Applications,Competitor D,97
A00042,Integration,Competitor B,98
A00043,Infrastructure,Competitor A,55
A00043,Analytics & Data,Competitor B,39
A00044,Infrastructure,Competitor C,91
A00044,Database,Competitor B,98
A00044,Analytics & Data,Competitor A,80
A00044,Security,Competitor B,52
A00044,Applications,Competitor D,97
A00044,Integration,Competitor B,100
A00045,Infrastructure,Competitor D,99
A00045,Database,Competitor C,87
A00045,AI & ML,Competitor B,98
A00045,Security,Competitor B,98
A00045,Applications,Competitor D,86
A00047,Infrastructure,Competitor B,11
A00047,Security,Competitor A,63
A00048,Database,Competitor A,55
A00048,Analytics & Data,Competitor A,36
A00048,AI & ML,Competitor B,46
A00048,Security,Competitor A,24
A00048,Applications,Competitor A,100
A00048,Integration,Competitor B,56
A00049,Database,Competitor A,63
A00049,AI & ML,Competitor B,75
A00049,Security,Competitor D,28
A00050,Infrastructure,Competitor C,83
A00050,Database,Competitor C,76
A00050,Analytics & Data,Competitor B,76
A00050,Security,Competitor B,77
A00050,Integration,Competitor B,60
A00051,Infrastructure,Competitor A,75
A00051,Database,Competitor D,90
A00051,Analytics & Data,Competitor B,84
A00051,AI & ML,Competitor D,36
A00051,Security,Competitor D,76
A00051,Applications,Competitor A,92
A00051,Integration,Competitor C,99
A00052,Infrastructure,Competitor A,98
A00052,AI & ML,Competitor D,90
A00052,Integration,Competitor B,89
A00053,Infrastructure,Competitor C,98
A00053,Database,Competitor C,100
A00053,Analytics & Data,Competitor B,40
A00053,Security,Competitor B,77
A00053,Integration,Competitor C,98
A00054,Database,Competitor B,74
A00054,Analytics & Data,Competitor A,21
A00054,Applications,Competitor C,91
