account_id,channel,days_ago
A00001,Product Page,119
A00001,Website,232
A00001,Campaign,316
A00001,Product Page,260
A00001,Campaign,316
A00002,Campaign,87
A00002,Campaign,44
A00002,Event,186
A00002,Campaign,155
A00002,Campaign,54
A00002,Campaign,153
A00002,Webinar,163
A00002,Product Page,161
A00002,Website,150
A00002,Website,149
A00002,Campaign,44
A00002,Product Page,77
A00002,Product Page,135
A00003,Website,20
A00003,Product Page,40
A00003,Webinar,63
A00003,Product Page,58
A00003,Product Page,35
A00003,Event,7
A00003,Website,33
A00003,Product Page,42
A00003,Website,18
A00003,Webinar,61
A00003,Webinar,8
A00003,Event,44
A00003,Website,29
A00003,Website,49
A00003,Product Page,67
A00003,Webinar,67
A00003,Webinar,52
A00003,Event,72
A00003,Campaign,53
A00003,Product Page,7
A00003,Event,36
A00003,Website,45
A00003,Website,52
A00003,Product Page,5
A00003,Webinar,42
A00004,Product Page,197
A00004,Event,353
A00004,Webinar,120
A00004,Product Page,103
A00004,Campaign,267
A00004,Event,110
A00004,Product Page,135
A00005,Product Page,186
A00005,Event,130
A00005,Product Page,119
A00005,Product Page,238
A00005,Event,269
A00005,Website,284
A00005,Event,321
A00006,Website,51
A00006,Website,26
A00006,Website,12
A00006,Website,46
A00006,Webinar,40
A00006,Campaign,20
A00006,Website,24
A00006,Event,25
A00006,Website,15
A00006,Campaign,60
A00006,Product Page,41
A00006,Campaign,57
A00006,Campaign,26
A00006,Event,7
A00006,Product Page,6
A00006,Webinar,29
A00006,Event,45
A00006,Website,57
A00006,Campaign,60
A00006,Event,26
A00006,Webinar,34
A00006,Campaign,29
A00006,Website,58
A00006,Product Page,33
A00007,Event,253
A00007,Campaign,204
A00007,Event,342
A00007,Campaign,304
A00007,Campaign,326
A00007,Webinar,198
A00008,Product Page,64
A00008,Website,35
A00008,Product Page,187
A00008,Campaign,152
A00008,Event,77
A00008,Campaign,159
A00008,Website,40
A00008,Campaign,167
A00008,Webinar,167
A00008,Product Page,54
A00008,Event,169
A00008,Website,38
A00008,Event,144
A00008,Webinar,78
A00009,Product Page,139
A00009,Website,80
A00009,Product Page,35
A00009,Webinar,163
A00009,Website,133
A00009,Campaign,114
A00009,Event,83
A00009,Webinar,184
A00009,Webinar,40
A00009,Website,128
A00009,Product Page,117
A00009,Event,54
A00009,Campaign,101
A00009,Product Page,53
A00009,Website,57
A00009,Webinar,148
A00009,Campaign,64
A00009,Webinar,128
A00009,Webinar,54
A00009,Event,103
A00010,Event,73
A00010,Website,50
A00010,Website,146
A00010,Product Page,112
A00010,Campaign,155
A00010,Event,156
A00010,Event,38
A00010,Campaign,38
A00010,Website,120
A00010,Webinar,162
A00010,Event,74
A00010,Website,117
A00010,Product Page,85
A00010,Product Page,121
A00010,Product Page,67
A00011,Campaign,12
A00011,Event,11
A00011,Webinar,8
A00011,Webinar,24
A00011,Campaign,21
A00011,Website,16
A00011,Website,16
A00011,Campaign,10
A00011,Website,23
A00011,Webinar,7
A00011,Webinar,2
A00011,Event,11
A00011,Product Page,9
A00011,Website,2
A00011,Campaign,14
A00011,Product Page,23
A00011,Campaign,3
A00011,Campaign,9
A00011,Webinar,13
