account_id,product_family,amount,status,weighted_amount
A00002,Analytics & Data,1694623,Closed,0.0
A00005,AI & ML,1378690,Closed,0.0
A00006,Security,1739010,Won,0.0
A00007,Integration,3706782,Lost,0.0
A00008,Analytics & Data,972797,Won,0.0
A00009,Analytics & Data,2558966,Lost,0.0
A00011,Security,3820858,Won,0.0
A00012,Applications,1622614,Won,0.0
A00013,Analytics & Data,2171839,Lost,0.0
A00016,Infrastructure,1534365,Closed,0.0
A00016,Database,279119,Won,0.0
A00018,Infrastructure,4450453,Closed,0.0
A00018,Database,609406,Won,0.0
A00023,Analytics & Data,1651883,Won,0.0
A00025,AI & ML,4304335,Lost,0.0
A00025,Applications,311363,Won,0.0
A00026,Applications,974062,Won,0.0
A00027,Database,1723065,Lost,0.0
A00027,Analytics & Data,1182439,Lost,0.0
A00027,Security,2159037,Lost,0.0
A00027,Applications,1536513,Lost,0.0
A00030,Analytics & Data,480540,Closed,0.0
A00031,Analytics & Data,890427,Lost,0.0
A00032,Infrastructure,1085919,Won,0.0
A00033,Database,1987138,Won,0.0
A00035,AI & ML,999160,Closed,0.0
A00038,Integration,4545184,Won,0.0
A00041,Infrastructure,4161454,Closed,0.0
A00041,Applications,538724,Won,0.0
A00042,AI & ML,1360607,Won,0.0
A00044,AI & ML,1782072,Won,0.0
A00045,Analytics & Data,807315,Closed,0.0
A00045,AI & ML,2433643,Won,0.0
A00047,Infrastructure,1612315,Closed,0.0
A00048,Integration,4282854,Won,0.0
A00049,AI & ML,1337490,Won,0.0
A00049,Security,1081294,Won,0.0
A00049,Integration,1130075,Won,0.0
A00050,Database,1999811,Lost,0.0
A00052,Analytics & Data,1346672,Closed,0.0
A00053,AI & ML,1157334,Closed,0.0
A00053,Security,2375732,Won,0.0
A00054,Infrastructure,3642668,Won,0.0
A00054,Security,480284,Lost,0.0
A00054,Integration,2167223,Lost,0.0
A00056,Infrastructure,1336564,Closed,0.0
A00058,AI & ML,1042343,Won,0.0
A00058,Integration,1817867,Closed,0.0
A00059,AI & ML,2330470,Won,0.0
A00061,Infrastructure,1361117,Lost,0.0
A00063,Applications,1101760,Closed,0.0
A00065,AI & ML,1220140,Lost,0.0
A00065,Integration,803366,Closed,0.0
A00067,Analytics & Data,878585,Lost,0.0
A00068,Database,609400,Closed,0.0
A00068,Applications,1093252,Closed,0.0
A00071,Applications,3187192,Lost,0.0
A00072,Infrastructure,3522851,Won,0.0
A00073,Applications,1382998,Lost,0.0
A00074,AI & ML,430041,Won,0.0
A00076,Integration,1892549,Lost,0.0
A00079,Analytics & Data,415844,Lost,0.0
A00079,AI & ML,906858,Won,0.0
A00079,Integration,1269502,Lost,0.0
A00080,Infrastructure,2618754,Lost,0.0
A00084,AI & ML,1070191,Won,0.0
A00084,Integration,1088011,Lost,0.0
A00085,Infrastructure,6167833,Won,0.0
A00087,Database,1913864,Lost,0.0
A00088,Database,4243337,Won,0.0
A00089,Security,301793,Won,0.0
A00089,Integration,1628513,Won,0.0
A00090,Database,1876696,Won,0.0
A00093,Infrastructure,2524230,Won,0.0
A00094,Database,336236,Won,0.0
A00094,AI & ML,3143842,Lost,0.0
A00096,Infrastructure,609108,Won,0.0
A00096,Analytics & Data,586059,Lost,0.0
A00096,Applications,2156348,Won,0.0
A00098,Database,2501052,Won,0.0
A00098,Applications,500020,Lost,0.0
A00099,AI & ML,993178,Won,0.0
A00099,Integration,3044983,Lost,0.0
A00100,Security,3645253,Closed,0.0
A00101,Database,435140,Closed,0.0
