account_id,product_family,product_engagement_score
A00001,Infrastructure,24
A00001,Database,23
A00001,Analytics & Data,56
A00001,AI & ML,15
A00001,Security,67
A00001,Applications,33
A00001,Integration,14
A00002,Infrastructure,92
A00002,Database,21
A00002,Analytics & Data,73
A00002,AI & ML,67
A00002,Security,59
A00002,Applications,19
A00002,Integration,94
A00003,Infrastructure,91
A00003,Database,76
A00003,Analytics & Data,62
A00003,AI & ML,88
A00003,Security,71
A00003,Applications,89
A00003,Integration,82
A00004,Infrastructure,13
A00004,Database,19
A00004,Analytics & Data,42
A00004,AI & ML,21
A00004,Security,20
A00004,Applications,33
A00004,Integration,36
A00005,Infrastructure,30
A00005,Database,45
A00005,Analytics & Data,34
A00005,AI & ML,19
A00005,Security,83
A00005,Applications,63
A00005,Integration,23
A00006,Infrastructure,97
A00006,Database,86
A00006,Analytics & Data,79
A00006,AI & ML,60
A00006,Security,79
A00006,Applications,98
A00006,Integration,97
A00007,Infrastructure,30
A00007,Database,67
A00007,Analytics & Data,10
A00007,AI & ML,65
A00007,Security,22
A00007,Applications,53
A00007,Integration,47
A00008,Infrastructure,90
A00008,Database,20
A00008,Analytics & Data,55
A00008,AI & ML,60
A00008,Security,48
A00008,Applications,68
A00008,Integration,46
A00009,Infrastructure,54
A00009,Database,47
A00009,Analytics & Data,93
A00009,AI & ML,68
A00009,Security,12
A00009,Applications,39
A00009,Integration,69
A00010,Infrastructure,64
A00010,Database,97
A00010,Analytics & Data,97
A00010,AI & ML,60
A00010,Security,67
A00010,Applications,55
A00010,Integration,39
A00011,Infrastructure,79
A00011,Database,98
A00011,Analytics & Data,99
A00011,AI & ML,66
A00011,Security,99
A00011,Applications,97
A00011,Integration,100
A00012,Infrastructure,98
A00012,Database,68
A00012,Analytics & Data,82
A00012,AI & ML,79
A00012,Security,86
A00012,Applications,97
A00012,Integration,100
A00013,Infrastructure,98
A00013,Database,97
A00013,Analytics & Data,77
A00013,AI & ML,28
A00013,Security,82
A00013,Applications,93
A00013,Integration,82
A00014,Infrastructure,56
A00014,Database,46
A00014,Analytics & Data,79
A00014,AI & ML,90
A00014,Security,71
A00014,Applications,78
A00014,Integration,68
A00015,Infrastructure,15
A00015,Database,35
A00015,Analytics & Data,89
A00015,AI & ML,17
A00015,Security,10
A00015,Applications,51
A00015,Integration,29
A00016,Infrastructure,89
A00016,Database,79
A00016,Analytics & Data,60
A00016,AI & ML,99
A00016,Security,76
A00016,Applications,45
A00016,Integration,85
A00017,Infrastructure,100
A00017,Database,97
A00017,Analytics & Data,91
A00017,AI & ML,97
A00017,Security,98
A00017,Applications,100
A00017,Integration,97
A00018,Infrastructure,24
A00018,Database,99
A00018,Analytics & Data,99
A00018,AI & ML,76
A00018,Security,78
A00018,Applications,81
A00018,Integration,99
A00019,Infrastructure,98
A00019,Database,100
A00019,Analytics & Data,66
A00019,AI & ML,89
A00019,Security,84
A00019,Applications,100
A00019,Integration,46
A00020,Infrastructure,21
A00020,Database,82
A00020,Analytics & Data,76
A00020,AI & ML,97
A00020,Security,84
A00020,Applications,22
A00020,Integration,100
A00021,Infrastructure,29
A00021,Database,42
A00021,Analytics & Data,18
A00021,AI & ML,39
A00021,Security,17
A00021,Applications,29
A00021,Integration,40
A00022,Infrastructure,30
A00022,Database,17
A00022,Analytics & Data,13
A00022,AI & ML,13
A00022,Security,72
A00022,Applications,92
A00022,Integration,12
A00023,Infrastructure,92
A00023,Database,84
A00023,Analytics & Data,57
A00023,AI & ML,67
A00023,Security,85
A00023,Applications,98
A00023,Integration,80
A00024,Infrastructure,39
A00024,Database,56
A00024,Analytics & Data,13
A00024,AI & ML,14
A00024,Security,10
A00024,Applications,23
A00024,Integration,33
A00025,Infrastructure,51
A00025,Database,82
A00025,Analytics & Data,78
A00025,AI & ML,92
A00025,Security,80
A00025,Applications,87
A00025,Integration,77
A00026,Infrastructure,56
A00026,Database,23
A00026,Analytics & Data,49
A00026,AI & ML,58
A00026,Security,90
A00026,Applications,81
A00026,Integration,62
A00027,Infrastructure,89
A00027,Database,53
A00027,Analytics & Data,18
A00027,AI & ML,56
A00027,Security,41
A00027,Applications,35
A00027,Integration,57
A00028,Infrastructure,26
A00028,Database,17
A00028,Analytics & Data,90
A00028,AI & ML,12
A00028,Security,28
A00028,Applications,32
A00028,Integration,15
A00029,Infrastructure,82
A00029,Database,83
A00029,Analytics & Data,88
A00029,AI & ML,76
A00029,Security,85
A00029,Applications,79
A00029,Integration,98
A00030,Infrastructure,21
A00030,Database,52
A00030,Analytics & Data,60
A00030,AI & ML,51
A00030,Security,36
A00030,Applications,73
A00030,Integration,19
A00031,Infrastructure,88
A00031,Database,100
A00031,Analytics & Data,97
A00031,AI & ML,99
A00031,Security,91
A00031,Applications,80
A00031,Integration,100
A00032,Infrastructure,83
A00032,Database,100
A00032,Analytics & Data,87
A00032,AI & ML,83
A00032,Security,87
A00032,Applications,28
A00032,Integration,88
A00033,Infrastructure,73
A00033,Database,51
A00033,Analytics & Data,69
A00033,AI & ML,88
A00033,Security,63
A00033,Applications,86
A00033,Integration,87
A00034,Infrastructure,84
A00034,Database,59
A00034,Analytics & Data,29
A00034,AI & ML,69
A00034,Security,87
A00034,Applications,51
A00034,Integration,50
A00035,Infrastructure,99
A00035,Database,16
A00035,Analytics & Data,97
A00035,AI & ML,97
A00035,Security,80
A00035,Applications,39
A00035,Integration,76
A00036,Infrastructure,48
A00036,Database,68
A00036,Analytics & Data,67
A00036,AI & ML,14
A00036,Security,11
A00036,Applications,84
A00036,Integration,35
A00037,Infrastructure,92
A00037,Database,93
A00037,Analytics & Data,89
A00037,AI & ML,80
A00037,Security,90
A00037,Applications,76
A00037,Integration,92
A00038,Infrastructure,63
A00038,Database,86
A00038,Analytics & Data,82
A00038,AI & ML,90
A00038,Security,78
A00038,Applications,66
A00038,Integration,81
A00039,Infrastructure,51
A00039,Database,15
A00039,Analytics & Data,25
A00039,AI & ML,76
A00039,Security,13
A00039,Applications,13
A00039,Integration,30
A00040,Infrastructure,98
A00040,Database,97
A00040,Analytics & Data,97
A00040,AI & ML,88
A00040,Security,78
A00040,Applications,99
A00040,Integration,98
A00041,Infrastructure,97
A00041,Database,50
A00041,Analytics & Data,98
A00041,AI & ML,98
A00041,Security,99
A00041,Applications,72
A00041,Integration,98
A00042,Infrastructure,100
A00042,Database,85
A00042,Analytics & Data,64
A00042,AI & ML,100
A00042,Security,97
A00042,Applications,100
A00042,Integration,97
A00043,Infrastructure,50
A00043,Database,21
A00043,Analytics & Data,42
A00043,AI & ML,20
A00043,Security,37
A00043,Applications,58
A00043,Integration,56
A00044,Infrastructure,83
A00044,Database,100
A00044,Analytics & Data,89
A00044,AI & ML,47
A00044,Security,57
A00044,Applications,100
A00044,Integration,100
A00045,Infrastructure,99
A00045,Database,77
A00045,Analytics & Data,78
A00045,AI & ML,97
A00045,Security,98
A00045,Applications,84
A00045,Integration,97
A00046,Infrastructure,15
A00046,Database,21
A00046,Analytics & Data,50
A00046,AI & ML,92
A00046,Security,41
A00046,Applications,36
A00046,Integration,22
A00047,Infrastructure,15
A00047,Database,20
A00047,Analytics & Data,17
A00047,AI & ML,33
A00047,Security,51
A00047,Applications,28
A00047,Integration,47
A00048,Infrastructure,78
A00048,Database,56
A00048,Analytics & Data,56
A00048,AI & ML,54
A00048,Security,22
A00048,Applications,100
A00048,Integration,54
A00049,Infrastructure,22
A00049,Database,63
A00049,Analytics & Data,42
A00049,AI & ML,94
A00049,Security,17
A00049,Applications,11
A00049,Integration,31
A00050,Infrastructure,77
A00050,Database,92
A00050,Analytics & Data,93
A00050,AI & ML,50
A00050,Security,80
A00050,Applications,85
A00050,Integration,50
A00051,Infrastructure,76
A00051,Database,84
A00051,Analytics & Data,82
A00051,AI & ML,72
A00051,Security,77
A00051,Applications,85
A00051,Integration,98
A00052,Infrastructure,98
A00052,Database,70
A00052,Analytics & Data,47
A00052,AI & ML,81
A00052,Security,68
A00052,Applications,35
A00052,Integration,90
A00053,Infrastructure,99
A00053,Database,97
A00053,Analytics & Data,60
A00053,AI & ML,73
A00053,Security,87
A00053,Applications,54
A00053,Integration,99
A00054,Infrastructure,60
A00054,Database,82
A00054,Analytics & Data,32
A00054,AI & ML,65
A00054,Security,73
A00054,Applications,88
A00054,Integration,24
A00055,Infrastructure,72
A00055,Database,72
A00055,Analytics & Data,46
A00055,AI & ML,64
A00055,Security,61
A00055,Applications,66
A00055,Integration,71
A00056,Infrastructure,50
A00056,Database,87
A00056,Analytics & Data,76
A00056,AI & ML,61
A00056,Security,73
A00056,Applications,32
A00056,Integration,85
A00057,Infrastructure,92
A00057,Database,76
A00057,Analytics & Data,60
A00057,AI & ML,79
A00057,Security,80
A00057,Applications,83
A00057,Integration,99
A00058,Infrastructure,84
A00058,Database,59
A00058,Analytics & Data,49
A00058,AI & ML,100
A00058,Security,60
A00058,Applications,10
A00058,Integration,84
A00059,Infrastructure,39
A00059,Database,85
A00059,Analytics & Data,12
A00059,AI & ML,46
A00059,Security,65
A00059,Applications,67
A00059,Integration,34
A00060,Infrastructure,37
A00060,Database,22
A00060,Analytics & Data,15
A00060,AI & ML,36
A00060,Security,60
A00060,Applications,57
A00060,Integration,10
A00061,Infrastructure,30
A00061,Database,53
A00061,Analytics & Data,69
A00061,AI & ML,18
A00061,Security,60
A00061,Applications,77
A00061,Integration,85
A00062,Infrastructure,100
A00062,Database,45
A00062,Analytics & Data,62
A00062,AI & ML,84
A00062,Security,98
A00062,Applications,51
A00062,Integration,53
A00063,Infrastructure,45
A00063,Database,37
A00063,Analytics & Data,89
A00063,AI & ML,42
A00063,Security,36
A00063,Applications,12
A00063,Integration,33
A00064,Infrastructure,18
A00064,Database,55
A00064,Analytics & Data,29
A00064,AI & ML,11
A00064,Security,41
A00064,Applications,42
A00064,Integration,38
A00065,Infrastructure,84
A00065,Database,69
A00065,Analytics & Data,36
A00065,AI & ML,90
A00065,Security,50
A00065,Applications,61
A00065,Integration,57
A00066,Infrastructure,38
A00066,Database,29
A00066,Analytics & Data,34
A00066,AI & ML,66
A00066,Security,28
A00066,Applications,73
A00066,Integration,46
A00067,Infrastructure,99
A00067,Database,97
A00067,Analytics & Data,54
A00067,AI & ML,94
A00067,Security,100
A00067,Applications,99
A00067,Integration,92
A00068,Infrastructure,90
A00068,Database,87
A00068,Analytics & Data,53
A00068,AI & ML,90
A00068,Security,49
A00068,Applications,65
A00068,Integration,91
A00069,Infrastructure,77
A00069,Database,99
A00069,Analytics & Data,80
A00069,AI & ML,81
A00069,Security,91
A00069,Applications,86
A00069,Integration,92
A00070,Infrastructure,87
A00070,Database,100
A00070,Analytics & Data,84
A00070,AI & ML,86
A00070,Security,70
A00070,Applications,98
A00070,Integration,97
A00071,Infrastructure,77
A00071,Database,55
A00071,Analytics & Data,85
A00071,AI & ML,81
A00071,Security,91
A00071,Applications,79
A00071,Integration,93
A00072,Infrastructure,92
A00072,Database,82
A00072,Analytics & Data,81
A00072,AI & ML,91
A00072,Security,62
A00072,Applications,65
A00072,Integration,47
A00073,Infrastructure,84
A00073,Database,54
A00073,Analytics & Data,61
A00073,AI & ML,58
A00073,Security,98
A00073,Applications,84
A00073,Integration,79
A00074,Infrastructure,27
A00074,Database,23
A00074,Analytics & Data,69
A00074,AI & ML,24
A00074,Security,73
A00074,Applications,39
A00074,Integration,13
A00075,Infrastructure,57
A00075,Database,71
A00075,Analytics & Data,84
A00075,AI & ML,79
A00075,Security,79
A00075,Applications,82
A00075,Integration,76
A00076,Infrastructure,85
A00076,Database,12
A00076,Analytics & Data,21
A00076,AI & ML,73
A00076,Security,36
A00076,Applications,39
A00076,Integration,46
A00077,Infrastructure,100
A00077,Database,29
A00077,Analytics & Data,97
A00077,AI & ML,97
A00077,Security,97
A00077,Applications,87
A00077,Integration,98
A00078,Infrastructure,47
A00078,Database,73
A00078,Analytics & Data,29
A00078,AI & ML,65
A00078,Security,83
A00078,Applications,94
A00078,Integration,88
A00079,Infrastructure,28
A00079,Database,94
A00079,Analytics & Data,59
A00079,AI & ML,79
A00079,Security,76
A00079,Applications,91
A00079,Integration,77
A00080,Infrastructure,84
A00080,Database,83
A00080,Analytics & Data,79
A00080,AI & ML,89
A00080,Security,78
A00080,Applications,98
A00080,Integration,92
A00081,Infrastructure,10
A00081,Database,69
A00081,Analytics & Data,10
A00081,AI & ML,34
A00081,Security,39
A00081,Applications,14
A00081,Integration,11
A00082,Infrastructure,49
A00082,Database,61
A00082,Analytics & Data,84
A00082,AI & ML,29
A00082,Security,35
A00082,Applications,71
A00082,Integration,45
A00083,Infrastructure,91
A00083,Database,81
A00083,Analytics & Data,99
A00083,AI & ML,86
A00083,Security,87
A00083,Applications,81
A00083,Integration,100
A00084,Infrastructure,97
A00084,Database,49
A00084,Analytics & Data,81
A00084,AI & ML,99
A00084,Security,99
A00084,Applications,97
A00084,Integration,82
A00085,Infrastructure,69
A00085,Database,55
A00085,Analytics & Data,61
A00085,AI & ML,98
A00085,Security,80
A00085,Applications,83
A00085,Integration,63
A00086,Infrastructure,99
A00086,Database,100
A00086,Analytics & Data,98
A00086,AI & ML,100
A00086,Security,97
A00086,Applications,84
A00086,Integration,97
A00087,Infrastructure,91
A00087,Database,87
A00087,Analytics & Data,46
A00087,AI & ML,66
A00087,Security,82
A00087,Applications,58
A00087,Integration,59
A00088,Infrastructure,51
A00088,Database,68
A00088,Analytics & Data,78
A00088,AI & ML,72
A00088,Security,58
A00088,Applications,25
A00088,Integration,49
A00089,Infrastructure,48
A00089,Database,22
A00089,Analytics & Data,46
A00089,AI & ML,63
A00089,Security,92
A00089,Applications,66
A00089,Integration,66
A00090,Infrastructure,93
A00090,Database,63
A00090,Analytics & Data,66
A00090,AI & ML,83
A00090,Security,97
A00090,Applications,99
A00090,Integration,56
A00091,Infrastructure,99
A00091,Database,100
A00091,Analytics & Data,98
A00091,AI & ML,84
A00091,Security,99
A00091,Applications,60
A00091,Integration,82
A00092,Infrastructure,59
A00092,Database,11
A00092,Analytics & Data,71
A00092,AI & ML,12
A00092,Security,27
A00092,Applications,78
A00092,Integration,62
A00093,Infrastructure,25
A00093,Database,27
A00093,Analytics & Data,45
