account_id,account_name,industry,region,customer_tier,annual_revenue,employee_count
A00001,Synthetic Account 1,Healthcare,APAC,Strategic,386079348.0,2470
A00002,Synthetic Account 2,Manufacturing,Latin America,Enterprise,527440949.0,4180
A00003,Synthetic Account 3,Manufacturing,Latin America,Enterprise,82939908.0,718
A00004,Synthetic Account 4,Financial Services,APAC,Enterprise,583613233.0,4335
A00005,Synthetic Account 5,Retail,EMEA,Commercial,2637788755.0,20709
A00006,Synthetic Account 6,Technology,North America,Strategic,6327870068.0,55510
A00007,Synthetic Account 7,Technology,APAC,Commercial,1386086653.0,11532
A00008,Synthetic Account 8,Retail,North America,Commercial,644730475.0,3306
A00009,Synthetic Account 9,Public Sector,Latin America,Strategic,4100833856.0,19044
A00010,Synthetic Account 10,Manufacturing,APAC,Enterprise,553558974.0,3964
A00011,Synthetic Account 11,Energy,North America,Enterprise,8423677394.0,41284
A00012,Synthetic Account 12,Technology,APAC,Enterprise,1041700338.0,5891
A00013,Synthetic Account 13,Energy,APAC,Commercial,2321243693.0,16852
A00014,Synthetic Account 14,Retail,North America,Enterprise,2477359939.0,11568
A00015,Synthetic Account 15,Manufacturing,Latin America,Commercial,555236221.0,4084
A00016,Synthetic Account 16,Automotive,EMEA,Strategic,8030948369.0,52415
A00017,Synthetic Account 17,Energy,North America,Enterprise,1954811264.0,10793
A00018,Synthetic Account 18,Energy,EMEA,Commercial,1162271242.0,6613
A00019,Synthetic Account 19,Retail,EMEA,Enterprise,345994455.0,2698
A00020,Synthetic Account 20,Healthcare,North America,Enterprise,517506877.0,3284
A00021,Synthetic Account 21,Retail,APAC,Enterprise,714885231.0,3127
A00022,Synthetic Account 22,Telecommunications,EMEA,Enterprise,636765224.0,4658
A00023,Synthetic Account 23,Technology,APAC,Enterprise,220845861.0,1491
A00024,Synthetic Account 24,Consumer Goods,APAC,Commercial,1309425353.0,9121
A00025,Synthetic Account 25,Public Sector,APAC,Commercial,5756680826.0,27994
A00026,Synthetic Account 26,Financial Services,APAC,Strategic,3491542282.0,23766
A00027,Synthetic Account 27,Automotive,APAC,Enterprise,762166051.0,4494
A00028,Synthetic Account 28,Public Sector,APAC,Enterprise,274753021.0,2271
A00029,Synthetic Account 29,Healthcare,EMEA,Strategic,1945325644.0,15850
A00030,Synthetic Account 30,Telecommunications,Latin America,Enterprise,22507393758.0,131076
A00031,Synthetic Account 31,Technology,EMEA,Strategic,1574555328.0,10584
A00032,Synthetic Account 32,Consumer Goods,North America,Enterprise,577489963.0,5056
A00033,Synthetic Account 33,Telecommunications,APAC,Enterprise,317632355.0,2696
A00034,Synthetic Account 34,Public Sector,EMEA,Strategic,735632786.0,5625
A00035,Synthetic Account 35,Retail,Latin America,Enterprise,3749472443.0,28905
A00036,Synthetic Account 36,Energy,Latin America,Enterprise,299190512.0,1863
A00037,Synthetic Account 37,Manufacturing,Latin America,Enterprise,1579867360.0,11551
A00038,Synthetic Account 38,Financial Services,North America,Strategic,2668663372.0,15414
A00039,Synthetic Account 39,Manufacturing,APAC,Strategic,616272456.0,3883
A00040,Synthetic Account 40,Financial Services,Latin America,Strategic,2725246674.0,24035
A00041,Synthetic Account 41,Retail,North America,Enterprise,640517347.0,5105
A00042,Synthetic Account 42,Energy,Latin America,Enterprise,2788014771.0,22266
A00043,Synthetic Account 43,Manufacturing,Latin America,Enterprise,294904622.0,1451
A00044,Synthetic Account 44,Manufacturing,Latin America,Commercial,4837936340.0,35103
A00045,Synthetic Account 45,Retail,APAC,Enterprise,2384594799.0,19659
A00046,Synthetic Account 46,Healthcare,EMEA,Strategic,112477115.0,520
A00047,Synthetic Account 47,Manufacturing,North America,Commercial,939672452.0,5856
A00048,Synthetic Account 48,Financial Services,APAC,Enterprise,2586135798.0,17965
A00049,Synthetic Account 49,Automotive,EMEA,Strategic,1801543005.0,9458
A00050,Synthetic Account 50,Energy,APAC,Commercial,297110642.0,2553
A00051,Synthetic Account 51,Technology,Latin America,Enterprise,621605522.0,3644
A00052,Synthetic Account 52,Retail,APAC,Enterprise,678051004.0,3064
A00053,Synthetic Account 53,Consumer Goods,APAC,Commercial,666426222.0,5448
A00054,Synthetic Account 54,Financial Services,Latin America,Enterprise,2331887903.0,20367
A00055,Synthetic Account 55,Technology,APAC,Enterprise,1019584343.0,6450
A00056,Synthetic Account 56,Financial Services,Latin America,Strategic,1406782307.0,6929
A00057,Synthetic Account 57,Retail,North America,Commercial,307144980.0,1530
A00058,Synthetic Account 58,Consumer Goods,APAC,Commercial,7820132693.0,47678
A00059,Synthetic Account 59,Manufacturing,North America,Enterprise,1789107290.0,9249
A00060,Synthetic Account 60,Retail,APAC,Enterprise,2138281602.0,17927
A00061,Synthetic Account 61,Public Sector,APAC,Strategic,599789875.0,3879
A00062,Synthetic Account 62,Healthcare,EMEA,Enterprise,979888351.0,5752
A00063,Synthetic Account 63,Telecommunications,Latin America,Commercial,1996968905.0,9520
A00064,Synthetic Account 64,Retail,EMEA,Enterprise,4639935715.0,23474
A00065,Synthetic Account 65,Energy,Latin America,Enterprise,221868750.0,1984
A00066,Synthetic Account 66,Financial Services,EMEA,Enterprise,530512569.0,4524
A00067,Synthetic Account 67,Energy,APAC,Enterprise,1494359406.0,7009
A00068,Synthetic Account 68,Automotive,APAC,Enterprise,3198132065.0,24514
A00069,Synthetic Account 69,Automotive,EMEA,Commercial,137210247.0,916
A00070,Synthetic Account 70,Automotive,EMEA,Strategic,1249900977.0,5972
A00071,Synthetic Account 71,Technology,EMEA,Strategic,2951443828.0,19138
A00072,Synthetic Account 72,Consumer Goods,EMEA,Commercial,450984307.0,3532
A00073,Synthetic Account 73,Consumer Goods,EMEA,Commercial,648951812.0,4371
A00074,Synthetic Account 74,Financial Services,EMEA,Enterprise,2509058291.0,21994
A00075,Synthetic Account 75,Public Sector,Latin America,Enterprise,2299911644.0,19581
A00076,Synthetic Account 76,Public Sector,North America,Enterprise,671491122.0,3449
A00077,Synthetic Account 77,Technology,North America,Enterprise,118086081.0,608
A00078,Synthetic Account 78,Technology,EMEA,Strategic,1409773251.0,6358
A00079,Synthetic Account 79,Telecommunications,Latin America,Strategic,1556699700.0,13988
A00080,Synthetic Account 80,Retail,North America,Enterprise,709720695.0,4242
A00081,Synthetic Account 81,Retail,APAC,Commercial,2069678625.0,13125
A00082,Synthetic Account 82,Consumer Goods,Latin America,Enterprise,691631802.0,3851
A00083,Synthetic Account 83,Energy,EMEA,Strategic,2421503303.0,21495
A00084,Synthetic Account 84,Public Sector,North America,Enterprise,830885366.0,4582
A00085,Synthetic Account 85,Financial Services,APAC,Commercial,473817842.0,2532
A00086,Synthetic Account 86,Public Sector,APAC,Enterprise,2494208788.0,11884
A00087,Synthetic Account 87,Healthcare,EMEA,Commercial,924182924.0,7416
A00088,Synthetic Account 88,Retail,EMEA,Strategic,493442046.0,4104
A00089,Synthetic Account 89,Financial Services,Latin America,Commercial,721551567.0,4150
A00090,Synthetic Account 90,Automotive,APAC,Commercial,287241721.0,1405
A00091,Synthetic Account 91,Energy,Latin America,Strategic,4327308098.0,38886
A00092,Synthetic Account 92,Energy,APAC,Commercial,1729889945.0,14433
A00093,Synthetic Account 93,Retail,Latin America,Enterprise,1467073831.0,7868
A00094,Synthetic Account 94,Public Sector,APAC,Commercial,1552236116.0,10419
A00095,Synthetic Account 95,Financial Services,APAC,Enterprise,104938721.0,742
A00096,Synthetic Account 96,Financial Services,Latin America,Commercial,1451972547.0,7920
A00097,Synthetic Account 97,Automotive,North America,Commercial,1169853078.0,7139
A00098,Synthetic Account 98,Financial Services,Latin America,Strategic,1070053029.0,7344
A00099,Synthetic Account 99,Public Sector,APAC,Strategic,1354862680.0,8652
A00100,Synthetic Account 100,Energy,APAC,Strategic,854421338.0,5428
A00101,Synthetic Account 101,Retail,APAC,Commercial,664167934.0,5642
A00102,Synthetic Account 102,Healthcare,APAC,Commercial,195567665.0,1330
A00103,Synthetic Account 103,Retail,APAC,Enterprise,4328728988.0,21888
A00104,Synthetic Account 104,Manufacturing,APAC,Enterprise,1669850216.0,10969
A00105,Synthetic Account 105,Healthcare,North America,Enterprise,940218172.0,6430
A00106,Synthetic Account 106,Telecommunications,Latin America,Strategic,1326668926.0,5905
A00107,Synthetic Account 107,Consumer Goods,APAC,Enterprise,2116132238.0,9650
A00108,Synthetic Account 108,Public Sector,North America,Strategic,386723494.0,2109
A00109,Synthetic Account 109,Retail,Latin America,Enterprise,767837912.0,6125
A00110,Synthetic Account 110,Energy,North America,Enterprise,509070699.0,2553
