account_id,product_family,competitor,intensity
A00002,Security,Competitor A,14
A00003,Infrastructure,Competitor C,67
A00003,Database,Competitor D,15
A00003,AI & ML,Competitor B,57
A00003,Applications,Competitor D,4
A00004,Infrastructure,Competitor D,81
A00006,Infrastructure,Competitor B,60
A00006,Database,Competitor B,29
A00007,Infrastructure,Competitor C,20
A00007,Integration,Competitor D,58
A00008,Integration,Competitor D,34
A00009,Database,Competitor D,88
A00009,Analytics & Data,Competitor A,61
A00009,Integration,Competitor C,22
A00011,Infrastructure,Competitor B,75
A00011,Security,Competitor D,98
A00012,Infrastructure,Competitor A,53
A00012,Analytics & Data,Competitor D,100
A00014,Database,Competitor A,91
A00014,Security,Competitor D,41
A00014,Applications,Competitor B,23
A00015,Infrastructure,Competitor D,36
A00015,Analytics & Data,Competitor B,32
A00015,AI & ML,Competitor C,75
A00015,Integration,Competitor A,62
A00016,Analytics & Data,Competitor B,44
A00016,AI & ML,Competitor D,23
A00016,Integration,Competitor B,100
A00017,Applications,Competitor B,42
A00018,Applications,Competitor A,15
A00018,Integration,Competitor D,46
A00019,Security,Competitor D,81
A00019,Applications,Competitor A,55
A00020,Infrastructure,Competitor B,34
A00020,Analytics & Data,Competitor A,93
A00020,Integration,Competitor C,57
A00021,Database,Competitor B,63
A00021,AI & ML,Competitor A,27
A00021,Applications,Competitor D,48
A00022,Applications,Competitor C,22
A00023,Analytics & Data,Competitor B,90
A00023,AI & ML,Competitor D,57
A00024,Infrastructure,Competitor D,35
A00024,Database,Competitor A,9
A00024,Applications,Competitor C,42
A00025,Infrastructure,Competitor A,1
A00025,Integration,Competitor B,27
A00026,Infrastructure,Competitor A,36
A00026,Database,Competitor B,25
A00026,AI & ML,Competitor B,84
A00026,Security,Competitor A,42
A00026,Applications,Competitor D,100
A00026,Integration,Competitor D,43
A00027,Database,Competitor D,78
A00027,Analytics & Data,Competitor C,42
A00027,Security,Competitor A,59
A00027,Applications,Competitor B,88
A00028,Security,Competitor D,78
A00028,Applications,Competitor B,62
A00029,Analytics & Data,Competitor B,42
A00029,AI & ML,Competitor B,41
A00030,Analytics & Data,Competitor A,30
A00030,Applications,Competitor D,53
A00030,Integration,Competitor A,20
A00032,Security,Competitor C,24
A00032,Applications,Competitor C,94
A00033,Database,Competitor C,84
A00034,AI & ML,Competitor C,49
A00034,Applications,Competitor B,30
A00035,Infrastructure,Competitor D,89
A00035,Database,Competitor C,19
A00035,AI & ML,Competitor C,16
A00036,Analytics & Data,Competitor D,100
A00036,Security,Competitor C,34
A00036,Applications,Competitor B,50
A00036,Integration,Competitor C,44
A00037,Database,Competitor B,33
A00037,Analytics & Data,Competitor B,5
A00037,Integration,Competitor A,38
A00038,Integration,Competitor D,92
A00039,AI & ML,Competitor D,79
A00039,Security,Competitor B,30
A00039,Applications,Competitor D,61
A00039,Integration,Competitor B,45
A00040,Applications,Competitor B,44
A00041,Infrastructure,Competitor B,69
A00041,Analytics & Data,Competitor D,92
A00041,AI & ML,Competitor C,66
A00042,Applications,Competitor C,84
A00042,Integration,Competitor A,37
A00043,Database,Competitor C,25
A00043,Security,Competitor D,22
A00043,Applications,Competitor B,62
A00044,Database,Competitor C,9
A00044,Analytics & Data,Competitor B,97
A00044,Security,Competitor A,22
A00045,AI & ML,Competitor B,83
A00045,Security,Competitor D,29
A00046,Applications,Competitor D,9
A00047,Infrastructure,Competitor D,58
A00047,Database,Competitor A,82
A00047,Analytics & Data,Competitor B,28
A00047,Security,Competitor A,26
A00047,Integration,Competitor C,27
A00048,Database,Competitor C,61
A00048,Analytics & Data,Competitor C,92
A00048,Integration,Competitor D,94
A00049,Integration,Competitor C,66
A00050,Infrastructure,Competitor D,41
A00050,Database,Competitor B,73
A00050,Security,Competitor B,76
A00050,Applications,Competitor C,31
A00051,Analytics & Data,Competitor B,31
A00051,Security,Competitor D,36
