account_id,channel,days_ago
A00001,Campaign,99
A00001,Webinar,227
A00001,Event,85
A00001,Webinar,1
A00001,Event,62
A00001,Website,72
A00001,Webinar,119
A00001,Webinar,139
A00001,Event,1
A00001,Product Page,9
A00001,Event,1
A00001,Product Page,1
A00001,Campaign,35
A00001,Product Page,96
A00001,Campaign,36
A00001,Webinar,130
A00001,Event,80
A00001,Website,1
A00001,Webinar,1
A00001,Webinar,2
A00001,Webinar,90
A00001,Webinar,42
A00001,Webinar,92
A00002,Campaign,162
A00002,Website,1
A00002,Webinar,53
A00002,Product Page,1
A00002,Event,151
A00002,Website,86
A00002,Campaign,160
A00003,Campaign,8
A00003,Campaign,232
A00003,Product Page,120
A00003,Campaign,121
A00003,Product Page,137
A00003,Product Page,126
A00003,Website,1
A00003,Webinar,81
A00004,Webinar,171
A00004,Webinar,122
A00004,Product Page,143
A00004,Event,222
A00004,Website,162
A00004,Webinar,106
A00004,Event,96
A00005,Website,43
A00005,Campaign,245
A00006,Website,69
A00006,Webinar,172
A00006,Product Page,215
A00006,Campaign,144
A00006,Website,1
A00006,Campaign,129
A00006,Campaign,159
A00006,Event,194
A00007,Campaign,1
A00007,Event,166
A00008,Website,15
A00008,Campaign,150
A00008,Campaign,160
A00008,Product Page,36
A00008,Webinar,105
A00009,Product Page,108
A00009,Product Page,185
A00009,Webinar,176
A00009,Product Page,13
A00009,Campaign,63
A00009,Website,94
A00009,Product Page,193
A00009,Webinar,242
A00009,Website,179
A00009,Product Page,1
A00009,Website,62
A00009,Product Page,214
A00009,Website,1
A00010,Campaign,94
A00010,Product Page,87
A00010,Website,129
A00010,Webinar,152
A00010,Event,73
A00011,Product Page,80
A00011,Webinar,85
A00011,Website,150
A00011,Website,133
A00011,Campaign,131
A00011,Website,114
A00011,Campaign,73
A00011,Webinar,183
A00011,Campaign,124
A00011,Product Page,197
A00012,Website,54
A00012,Webinar,1
A00012,Webinar,85
A00012,Event,89
A00012,Product Page,39
A00012,Campaign,75
A00012,Event,55
A00012,Website,1
A00012,Event,245
A00012,Product Page,127
A00012,Website,8
A00012,Product Page,73
A00013,Campaign,162
A00013,Website,58
A00013,Website,52
A00014,Webinar,180
A00014,Event,50
A00014,Campaign,117
A00014,Website,57
A00014,Webinar,166
A00014,Webinar,99
A00014,Product Page,157
A00014,Website,137
A00014,Website,70
A00014,Event,140
A00014,Event,164
A00014,Website,100
A00014,Website,162
A00015,Campaign,152
A00015,Webinar,79
A00015,Product Page,102
A00015,Website,160
A00015,Webinar,64
A00015,Event,118
A00015,Product Page,82
A00015,Website,137
A00015,Campaign,142
A00015,Campaign,145
A00016,Webinar,148
A00016,Webinar,165
A00016,Event,1
A00016,Event,71
A00016,Product Page,35
A00016,Event,105
A00016,Campaign,21
A00016,Event,130
A00016,Event,267
A00016,Event,228
A00016,Campaign,103
A00016,Website,1
A00016,Campaign,1
A00017,Webinar,155
A00017,Webinar,164
A00017,Event,220
A00017,Event,170
A00017,Event,189
A00017,Website,164
A00017,Product Page,83
A00017,Product Page,146
A00018,Website,100
A00018,Event,140
A00018,Webinar,145
A00019,Campaign,179
A00019,Webinar,1
A00019,Campaign,92
A00019,Event,37
A00019,Webinar,158
A00019,Product Page,176
A00019,Campaign,44
A00019,Event,21
A00019,Product Page,245
A00019,Webinar,75
A00019,Website,139
A00019,Campaign,38
A00020,Product Page,123
A00020,Website,242
A00020,Website,62
A00020,Product Page,177
A00020,Event,139
A00020,Webinar,219
A00020,Campaign,33
A00021,Event,59
A00021,Campaign,1
A00021,Webinar,126
A00021,Website,124
A00021,Webinar,117
A00021,Campaign,64
A00021,Event,104
A00021,Campaign,152
A00021,Event,137
A00021,Webinar,140
A00021,Website,63
A00021,Campaign,1
A00021,Event,81
A00021,Event,67
A00022,Campaign,71
A00022,Event,1
A00022,Campaign,143
A00022,Campaign,1
A00022,Campaign,1
A00022,Event,101
A00022,Event,44
A00022,Website,1
A00022,Product Page,81
A00022,Product Page,207
A00022,Campaign,33
A00022,Event,104
A00022,Campaign,147
A00022,Campaign,199
A00022,Event,157
A00023,Website,101
A00023,Product Page,93
A00023,Website,97
A00023,Product Page,1
A00023,Website,112
A00023,Event,142
A00024,Product Page,189
A00024,Webinar,144
A00024,Webinar,206
A00024,Webinar,134
A00024,Event,121
A00024,Product Page,65
A00025,Website,158
A00025,Campaign,199
A00025,Product Page,104
A00026,Website,129
A00026,Event,138
A00026,Event,222
A00026,Product Page,137
A00026,Campaign,72
A00026,Website,175
A00026,Website,76
A00026,Event,85
A00026,Website,83
A00027,Website,114
A00027,Product Page,139
A00027,Event,107
A00027,Campaign,86
A00027,Event,134
A00027,Event,147
A00027,Event,141
A00027,Event,99
A00028,Product Page,1
A00028,Website,1
