account_id,product_family,amount,status,weighted_amount
A00001,Analytics & Data,402766,Open,302074.5
A00001,Security,773734,Open,580300.5
A00001,Applications,2618438,Open,1963828.5
A00002,Database,781219,Open,585914.25
A00002,Analytics & Data,1694623,Closed,0.0
A00003,Infrastructure,1768842,Open,1326631.5
A00003,AI & ML,3729150,Open,2796862.5
A00003,Security,1612103,Open,1209077.25
A00003,Applications,756139,Open,567104.25
A00004,Infrastructure,3087205,Open,2315403.75
A00004,Database,798178,Open,598633.5
A00004,Integration,1832731,Open,1374548.25
A00005,AI & ML,1378690,Closed,0.0
A00005,Integration,1305669,Open,979251.75
A00006,Infrastructure,1064866,Open,798649.5
A00006,Security,1739010,Won,0.0
A00007,Infrastructure,1140086,Open,855064.5
A00007,AI & ML,535009,Open,401256.75
A00007,Applications,1484569,Open,1113426.75
A00007,Integration,3706782,Lost,0.0
A00008,Database,444319,Open,333239.25
A00008,Analytics & Data,972797,Won,0.0
A00009,Analytics & Data,2558966,Lost,0.0
A00009,Security,341941,Open,256455.75
A00009,Integration,1175691,Open,881768.25
A00010,Analytics & Data,1592195,Open,1194146.25
A00010,AI & ML,1552744,Open,1164558.0
A00010,Applications,310364,Open,232773.0
A00011,AI & ML,2749490,Open,2062117.5
A00011,Security,3820858,Won,0.0
A00012,Analytics & Data,638335,Open,478751.25
A00012,Security,247138,Open,185353.5
A00012,Applications,1622614,Won,0.0
A00013,Analytics & Data,2171839,Lost,0.0
A00013,Security,719447,Open,539585.25
A00015,AI & ML,1025194,Open,768895.5
A00015,Integration,1416945,Open,1062708.75
A00016,Infrastructure,1534365,Closed,0.0
A00016,Database,279119,Won,0.0
A00016,AI & ML,691069,Open,518301.75
A00016,Integration,1456413,Open,1092309.75
A00017,Analytics & Data,875852,Open,656889.0
A00017,Applications,4458743,Open,3344057.25
A00018,Infrastructure,4450453,Closed,0.0
A00018,Database,609406,Won,0.0
A00018,AI & ML,791522,Open,593641.5
A00019,Analytics & Data,864445,Open,648333.75
A00019,Applications,1639742,Open,1229806.5
A00020,Analytics & Data,1998568,Open,1498926.0
A00020,Security,982826,Open,737119.5
A00020,Integration,2417572,Open,1813179.0
A00021,Infrastructure,409505,Open,307128.75
A00021,Security,6744384,Open,5058288.0
A00021,Applications,798801,Open,599100.75
A00022,Analytics & Data,2486637,Open,1864977.75
A00022,AI & ML,955169,Open,716376.75
A00022,Applications,908203,Open,681152.25
