account_id,product_family,product_engagement_score
A00001,Infrastructure,60
A00001,Database,49
A00001,Analytics & Data,32
A00001,AI & ML,28
A00001,Security,61
A00001,Applications,78
A00001,Integration,68
A00002,Infrastructure,67
A00002,Database,63
A00002,Analytics & Data,63
A00002,AI & ML,32
A00002,Security,37
A00002,Applications,35
A00002,Integration,13
A00003,Infrastructure,74
A00003,Database,43
A00003,Analytics & Data,33
A00003,AI & ML,53
A00003,Security,55
A00003,Applications,29
A00003,Integration,38
A00004,Infrastructure,81
A00004,Database,39
A00004,Analytics & Data,46
A00004,AI & ML,47
A00004,Security,29
A00004,Applications,66
A00004,Integration,43
A00005,Infrastructure,29
A00005,Database,74
A00005,Analytics & Data,33
A00005,AI & ML,43
A00005,Security,39
A00005,Applications,51
A00005,Integration,37
A00006,Infrastructure,82
A00006,Database,38
A00006,Analytics & Data,44
A00006,AI & ML,35
A00006,Security,47
A00006,Applications,61
A00006,Integration,58
A00007,Infrastructure,32
A00007,Database,54
A00007,Analytics & Data,52
A00007,AI & ML,47
A00007,Security,38
A00007,Applications,71
A00007,Integration,68
A00008,Infrastructure,42
A00008,Database,21
A00008,Analytics & Data,52
A00008,AI & ML,45
A00008,Security,38
A00008,Applications,37
A00008,Integration,36
A00009,Infrastructure,46
A00009,Database,96
A00009,Analytics & Data,68
A00009,AI & ML,52
A00009,Security,73
A00009,Applications,34
A00009,Integration,43
A00010,Infrastructure,38
A00010,Database,46
A00010,Analytics & Data,50
A00010,AI & ML,53
A00010,Security,38
A00010,Applications,19
A00010,Integration,46
A00011,Infrastructure,76
A00011,Database,77
A00011,Analytics & Data,61
A00011,AI & ML,49
A00011,Security,100
A00011,Applications,39
A00011,Integration,31
A00012,Infrastructure,49
A00012,Database,55
A00012,Analytics & Data,90
A00012,AI & ML,64
A00012,Security,35
A00012,Applications,28
A00012,Integration,57
A00013,Infrastructure,24
A00013,Database,63
A00013,Analytics & Data,26
A00013,AI & ML,31
A00013,Security,53
A00013,Applications,34
A00013,Integration,81
A00014,Infrastructure,37
A00014,Database,90
A00014,Analytics & Data,52
A00014,AI & ML,56
A00014,Security,56
A00014,Applications,28
A00014,Integration,58
A00015,Infrastructure,53
A00015,Database,45
A00015,Analytics & Data,47
A00015,AI & ML,81
A00015,Security,30
A00015,Applications,41
A00015,Integration,77
A00016,Infrastructure,27
A00016,Database,41
A00016,Analytics & Data,53
A00016,AI & ML,52
A00016,Security,76
A00016,Applications,90
A00016,Integration,100
A00017,Infrastructure,32
A00017,Database,30
A00017,Analytics & Data,53
A00017,AI & ML,34
A00017,Security,64
A00017,Applications,55
A00017,Integration,81
A00018,Infrastructure,100
A00018,Database,38
A00018,Analytics & Data,34
A00018,AI & ML,28
A00018,Security,44
A00018,Applications,47
A00018,Integration,61
A00019,Infrastructure,23
A00019,Database,46
A00019,Analytics & Data,57
A00019,AI & ML,34
A00019,Security,92
A00019,Applications,68
A00019,Integration,40
A00020,Infrastructure,49
A00020,Database,34
A00020,Analytics & Data,92
A00020,AI & ML,44
A00020,Security,55
A00020,Applications,26
A00020,Integration,65
A00021,Infrastructure,40
A00021,Database,89
A00021,Analytics & Data,30
A00021,AI & ML,50
A00021,Security,78
A00021,Applications,62
A00021,Integration,36
A00022,Infrastructure,53
A00022,Database,17
A00022,Analytics & Data,51
A00022,AI & ML,66
A00022,Security,38
A00022,Applications,55
A00022,Integration,90
A00023,Infrastructure,32
A00023,Database,42
A00023,Analytics & Data,100
A00023,AI & ML,59
A00023,Security,19
A00023,Applications,26
A00023,Integration,27
A00024,Infrastructure,29
A00024,Database,22
A00024,Analytics & Data,56
A00024,AI & ML,56
A00024,Security,37
A00024,Applications,37
A00024,Integration,50
A00025,Infrastructure,35
A00025,Database,41
A00025,Analytics & Data,74
A00025,AI & ML,81
A00025,Security,37
A00025,Applications,30
A00025,Integration,48
A00026,Infrastructure,50
A00026,Database,49
A00026,Analytics & Data,41
A00026,AI & ML,82
A00026,Security,50
A00026,Applications,87
A00026,Integration,60
A00027,Infrastructure,26
A00027,Database,81
A00027,Analytics & Data,49
A00027,AI & ML,34
A00027,Security,73
A00027,Applications,90
A00027,Integration,51
A00028,Infrastructure,46
A00028,Database,40
A00028,Analytics & Data,41
A00028,AI & ML,49
A00028,Security,81
A00028,Applications,61
A00028,Integration,38
A00029,Infrastructure,59
A00029,Database,61
A00029,Analytics & Data,49
A00029,AI & ML,51
A00029,Security,47
A00029,Applications,61
A00029,Integration,61
A00030,Infrastructure,54
A00030,Database,49
A00030,Analytics & Data,48
A00030,AI & ML,33
A00030,Security,44
A00030,Applications,65
A00030,Integration,31
A00031,Infrastructure,48
A00031,Database,42
A00031,Analytics & Data,62
A00031,AI & ML,44
A00031,Security,31
A00031,Applications,40
A00031,Integration,65
A00032,Infrastructure,79
A00032,Database,73
A00032,Analytics & Data,43
A00032,AI & ML,35
A00032,Security,45
A00032,Applications,98
A00032,Integration,38
A00033,Infrastructure,44
A00033,Database,84
A00033,Analytics & Data,36
A00033,AI & ML,41
A00033,Security,35
A00033,Applications,36
A00033,Integration,47
A00034,Infrastructure,44
A00034,Database,31
A00034,Analytics & Data,52
A00034,AI & ML,71
A00034,Security,39
A00034,Applications,50
A00034,Integration,20
A00035,Infrastructure,85
A00035,Database,28
A00035,Analytics & Data,20
A00035,AI & ML,31
A00035,Security,37
A00035,Applications,73
A00035,Integration,25
A00036,Infrastructure,41
A00036,Database,36
A00036,Analytics & Data,89
A00036,AI & ML,33
A00036,Security,31
A00036,Applications,53
A00036,Integration,59
A00037,Infrastructure,19
A00037,Database,50
A00037,Analytics & Data,29
A00037,AI & ML,73
A00037,Security,74
A00037,Applications,38
A00037,Integration,46
A00038,Infrastructure,36
A00038,Database,46
A00038,Analytics & Data,39
A00038,AI & ML,34
A00038,Security,32
A00038,Applications,49
A00038,Integration,95
A00039,Infrastructure,38
A00039,Database,48
A00039,Analytics & Data,60
A00039,AI & ML,86
A00039,Security,52
A00039,Applications,61
A00039,Integration,56
A00040,Infrastructure,39
A00040,Database,46
A00040,Analytics & Data,32
A00040,AI & ML,41
A00040,Security,29
A00040,Applications,54
A00040,Integration,30
A00041,Infrastructure,70
A00041,Database,23
A00041,Analytics & Data,91
A00041,AI & ML,69
A00041,Security,100
A00041,Applications,27
A00041,Integration,36
A00042,Infrastructure,50
A00042,Database,50
A00042,Analytics & Data,47
A00042,AI & ML,53
A00042,Security,56
A00042,Applications,78
A00042,Integration,57
A00043,Infrastructure,27
A00043,Database,41
A00043,Analytics & Data,19
A00043,AI & ML,44
A00043,Security,42
A00043,Applications,64
