account_id,product_family,deployment,consumption
A00001,Infrastructure,No Footprint,0
A00001,Database,Cloud,632585
A00001,Analytics & Data,Cloud,567430
A00001,AI & ML,Cloud,343326
A00001,Security,Cloud,1915887
A00001,Applications,Cloud,744810
A00001,Integration,Cloud,174222
A00002,Infrastructure,Cloud,612689
A00002,Database,No Footprint,0
A00002,Analytics & Data,No Footprint,0
A00002,AI & ML,No Footprint,0
A00002,Security,No Footprint,0
A00002,Applications,Cloud,585438
A00002,Integration,Hybrid,1207651
A00003,Infrastructure,On-Premise,9178315
A00003,Database,On-Premise,271091
A00003,Analytics & Data,No Footprint,0
A00003,AI & ML,No Footprint,0
A00003,Security,Hybrid,933268
A00003,Applications,No Footprint,0
A00003,Integration,No Footprint,0
A00004,Infrastructure,No Footprint,0
A00004,Database,On-Premise,755760
A00004,Analytics & Data,No Footprint,0
A00004,AI & ML,No Footprint,0
A00004,Security,No Footprint,0
A00004,Applications,No Footprint,0
A00004,Integration,Hybrid,677563
A00005,Infrastructure,Hybrid,587406
A00005,Database,No Footprint,0
A00005,Analytics & Data,No Footprint,0
A00005,AI & ML,Cloud,1382752
A00005,Security,Hybrid,991689
A00005,Applications,Hybrid,299865
A00005,Integration,Cloud,1114150
A00006,Infrastructure,No Footprint,0
A00006,Database,Hybrid,1017132
A00006,Analytics & Data,Hybrid,335888
A00006,AI & ML,Cloud,474625
A00006,Security,On-Premise,1194024
A00006,Applications,Cloud,1543257
A00006,Integration,Hybrid,1988611
A00007,Infrastructure,Cloud,416735
A00007,Database,Cloud,866986
A00007,Analytics & Data,No Footprint,0
A00007,AI & ML,No Footprint,0
A00007,Security,Hybrid,1361279
A00007,Applications,No Footprint,0
A00007,Integration,Hybrid,1287154
A00008,Infrastructure,No Footprint,0
A00008,Database,No Footprint,0
A00008,Analytics & Data,Hybrid,454175
A00008,AI & ML,No Footprint,0
A00008,Security,On-Premise,640503
A00008,Applications,No Footprint,0
A00008,Integration,No Footprint,0
A00009,Infrastructure,No Footprint,0
A00009,Database,Hybrid,3597813
A00009,Analytics & Data,Hybrid,1480163
A00009,AI & ML,Cloud,565926
A00009,Security,Hybrid,1052969
A00009,Applications,No Footprint,0
A00009,Integration,No Footprint,0
A00010,Infrastructure,Cloud,646825
A00010,Database,On-Premise,368244
A00010,Analytics & Data,Hybrid,235661
A00010,AI & ML,No Footprint,0
A00010,Security,Hybrid,285093
A00010,Applications,On-Premise,750391
A00010,Integration,Cloud,1391016
A00011,Infrastructure,No Footprint,0
A00011,Database,Hybrid,1023557
A00011,Analytics & Data,No Footprint,0
A00011,AI & ML,No Footprint,0
A00011,Security,Hybrid,4787190
A00011,Applications,No Footprint,0
A00011,Integration,Cloud,556436
A00012,Infrastructure,Cloud,819796
A00012,Database,Hybrid,487844
A00012,Analytics & Data,No Footprint,0
A00012,AI & ML,No Footprint,0
A00012,Security,No Footprint,0
A00012,Applications,Hybrid,419597
A00012,Integration,No Footprint,0
A00013,Infrastructure,No Footprint,0
A00013,Database,Cloud,488684
A00013,Analytics & Data,Cloud,1348098
A00013,AI & ML,No Footprint,0
A00013,Security,Hybrid,494652
A00013,Applications,Hybrid,608414
A00013,Integration,Hybrid,911360
A00014,Infrastructure,No Footprint,0
A00014,Database,On-Premise,5907911
A00014,Analytics & Data,No Footprint,0
A00014,AI & ML,No Footprint,0
A00014,Security,On-Premise,579787
A00014,Applications,On-Premise,4969774
A00014,Integration,Cloud,1816526
A00015,Infrastructure,On-Premise,987116
A00015,Database,Cloud,2302527
A00015,Analytics & Data,No Footprint,0
A00015,AI & ML,No Footprint,0
A00015,Security,Cloud,257181
A00015,Applications,Hybrid,313819
A00015,Integration,No Footprint,0
A00016,Infrastructure,Hybrid,510227
A00016,Database,Hybrid,402263
A00016,Analytics & Data,Hybrid,1285022
A00016,AI & ML,Cloud,766768
A00016,Security,Hybrid,512227
